SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_Geneva_R1_P112,Geneva,1,112,Pur12,S. purpurea,M,18.41,39.80,27.36,1.33,0.46,2.41,29,237,8.17,16.38,12.50,9.45,0.102,92.65,0.0108,10.07,1.21,19.75,8.31,0.3,31.9,994.8,36.4,41.6
YR1_Geneva_R2_P260,Geneva,2,260,Pur12,S. purpurea,M,17.38,37.66,28.79,2.32,0.50,2.21,13,113,8.69,8.32,11.50,8.69,0.0525,165.52,0.0060,9.87,1.19,21.65,8.28,0.23,28.7,684.7,41.1,32.2
YR1_Geneva_R3_P292,Geneva,3,292,Pur12,S. purpurea,M,18.30,41.71,26.03,1.40,0.41,2.70,35,326,9.31,26.61,13.50,11.78,0.1323,89.04,0.0112,11.54,1.29,23.01,8.97,0.28,28.6,721.6,19.6,30.8
YR1_Geneva_R4_P502,Geneva,4,502,Pur12,S. purpurea,M,16.63,34.47,30.16,2.61,0.51,2.32,19,185,9.74,15.86,11.00,7.87,0.0659,119.42,0.0084,9.43,0.99,18.8,9.51,0.28,30.0,619.8,58.2,32.3
YR1_Geneva_R5_P609,Geneva,5,609,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,2.48,27,223,8.26,15.34,8.50,8.69,0.0948,91.67,0.0109,10.35,1.01,20.62,10.24,0.26,31.8,709.0,39.5,43.7
YR1_Geneva_R6_P765,Geneva,6,765,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,1.93,27,202,7.48,13.32,10.25,8.77,0.0849,103.30,0.0097,9.36,1.15,18.98,8.12,0.31,26.1,602.7,33.3,47.2
YR1_Portland_R1_P8,Portland,1,8,Pur12,S. purpurea,M,17.98,41.09,27.00,1.47,0.37,2.04,24,215,8.96,15.78,12.25,9.50,0.0702,135.33,0.0074,10.55,1.18,29.01,8.95,0.14,27.7,178.7,43.9,44.7
YR1_Portland_R2_P157,Portland,2,157,Pur12,S. purpurea,M,16.70,33.61,32.38,2.20,0.50,1.68,18,106,5.89,5.53,13.25,14.12,0.0661,213.62,0.0047,8.46,2.26,143.81,3.75,0.01,30.8,418.6,46.4,39.1
YR1_Portland_R3_P267,Portland,3,267,Pur12,S. purpurea,M,17.73,36.87,29.43,1.75,0.49,1.99,39,253,6.49,14.00,14.50,4.13,0.0343,120.41,0.0083,6.32,3.09,17.78,2.05,0.16,29.9,382.4,46.3,43.9
YR1_Portland_R4_P478,Portland,4,478,Pur12,S. purpurea,M,17.83,39.38,28.33,1.93,0.48,2.30,23,186,8.09,12.32,13.00,8.25,0.0868,95.05,0.0105,9.29,1.05,19.01,8.83,0.29,31.7,515.9,39.8,39.6
YR1_Portland_R5_P640,Portland,5,640,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,2.25,42,367,8.74,27.12,14.00,10.93,0.108,101.20,0.0099,8.9,1.41,18.87,6.3,0.39,34.0,691.8,55.9,46.2
YR1_Portland_R6_P700,Portland,6,700,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,2.35,33,246,7.45,15.68,15.50,9.10,0.0849,107.18,0.0093,9.24,1.2,18.84,7.71,0.32,33.1,555.2,40.2,51.4
YR1_WVU_R1_P108,WVU,1,108,Pur12,S. purpurea,M,16.51,33.79,32.14,2.55,0.45,1.60,10,86,8.60,6.17,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,574.4,48.2,NA
YR1_WVU_R2_P243,WVU,2,243,Pur12,S. purpurea,M,16.83,34.72,31.24,3.15,0.69,2.12,19,173,9.11,12.75,17.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,588.4,54.0,NA
YR1_WVU_R3_P347,WVU,3,347,Pur12,S. purpurea,M,18.14,36.71,28.74,2.91,0.45,2.44,15,137,9.13,10.36,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,366.5,58.3,NA
YR1_WVU_R4_P447,WVU,4,447,Pur12,S. purpurea,M,17.58,37.70,29.00,2.55,0.44,1.60,20,173,8.65,12.51,11.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,278.8,58.5,NA
YR1_WVU_R5_P556,WVU,5,556,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,1.13,12,61,5.08,2.98,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,NA
YR1_WVU_R6_P761,WVU,6,761,Pur12,S. purpurea,M,NA,NA,NA,NA,NA,0.91,3,13,4.33,0.48,14.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,NA
YR1_Geneva_R1_P24,Geneva,1,24,PMC9106302,S. purpurea,F,17.17,36.70,28.68,3.13,0.30,1.60,38,235,6.18,12.01,10.50,2.44,0.0396,61.62,0.0162,3.83,0.82,7.73,4.67,0.51,32.9,162.3,49.7,30.1
YR1_Geneva_R2_P207,Geneva,2,207,PMC9106302,S. purpurea,F,17.09,34.60,29.60,3.24,0.64,1.60,33,246,7.45,15.13,9.25,4.99,0.0541,92.24,0.0108,5.23,1.15,12.25,4.54,0.42,27.3,833.0,38.7,19.7
YR1_Geneva_R3_P270,Geneva,3,270,PMC9106302,S. purpurea,F,17.35,35.29,29.57,2.69,0.55,1.88,42,320,7.62,20.09,8.75,3.13,0.0567,55.20,0.0181,3.75,0.97,8.08,3.87,0.6,33.4,1031.5,54.2,41.7
YR1_Geneva_R4_P404,Geneva,4,404,PMC9106302,S. purpurea,F,18.39,38.26,27.51,1.91,0.43,1.58,38,252,6.63,13.57,7.50,3.97,0.0488,81.35,0.0123,4.69,1.13,9.72,4.15,0.53,33.0,835.6,46.7,40.6
YR1_Geneva_R5_P631,Geneva,5,631,PMC9106302,S. purpurea,F,NA,NA,NA,NA,NA,1.75,31,214,6.90,12.05,9.75,4.88,0.0407,119.90,0.0083,4.73,1.18,10.85,4.01,0.52,33.0,611.1,44.3,34.0
YR1_Geneva_R6_P755,Geneva,6,755,PMC9106302,S. purpurea,F,NA,NA,NA,NA,NA,1.73,19,132,6.95,7.43,9.75,3.97,0.0465,85.38,0.0117,4.64,1.12,9.77,4.15,0.52,26.0,533.1,43.6,28.8
YR1_Portland_R1_P94,Portland,1,94,PMC9106302,S. purpurea,F,18.90,42.61,26.51,1.14,0.45,1.25,23,124,5.39,5.43,9.00,7.96,0.0235,338.72,0.0030,4.18,2.59,58.83,1.62,0.03,32.0,300.8,45.6,31.9
YR1_Portland_R2_P143,Portland,2,143,PMC9106302,S. purpurea,F,18.57,39.58,28.57,1.74,0.48,0.80,9,44,4.89,1.92,11.50,5.75,0.0278,206.83,0.0048,2.04,3.26,40.34,0.63,0.04,31.8,532.0,42.2,38.0
YR1_Portland_R3_P279,Portland,3,279,PMC9106302,S. purpurea,F,17.35,35.68,30.22,2.60,0.42,0.80,5,19,3.80,0.71,8.00,6.69,0.0268,249.63,0.0040,6.17,1.48,42.56,4.17,0.05,27.6,532.6,63.7,34.6
YR1_Portland_R4_P406,Portland,4,406,PMC9106302,S. purpurea,F,16.99,33.64,31.39,2.74,0.72,1.11,13,63,4.85,2.43,13.50,4.28,0.0243,176.13,0.0057,4.83,1.17,20.28,4.15,0.13,33.9,705.5,39.7,37.1
YR1_Portland_R5_P566,Portland,5,566,PMC9106302,S. purpurea,F,17.35,35.68,30.22,2.60,0.42,1.74,20,122,6.10,6.30,8.75,3.73,0.0459,81.26,0.0123,4.1,1.14,9.19,3.6,0.56,30.0,701.3,35.9,41.8
YR1_Portland_R6_P706,Portland,6,706,PMC9106302,S. purpurea,F,NA,NA,NA,NA,NA,1.57,17,115,6.76,6.56,7.50,5.96,0.0451,132.15,0.0076,5.15,1.41,11.02,3.65,0.62,32.7,779.2,40.7,48.4
YR1_WVU_R1_P76,WVU,1,76,PMC9106302,S. purpurea,F,16.89,35.27,30.86,2.15,0.48,1.46,20,125,6.25,6.46,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,861.4,54.4,NA
YR1_WVU_R2_P237,WVU,2,237,PMC9106302,S. purpurea,F,16.19,31.30,33.74,2.48,0.46,0.76,2,17,8.50,1.14,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,573.2,50.3,NA
YR1_WVU_R3_P319,WVU,3,319,PMC9106302,S. purpurea,F,16.79,33.82,31.65,2.64,0.41,1.54,42,283,6.74,15.94,9.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,852.6,56.1,NA
YR1_WVU_R4_P398,WVU,4,398,PMC9106302,S. purpurea,F,17.10,35.95,29.64,2.15,0.56,2.00,21,125,5.95,6.26,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,265.8,55.7,NA
YR1_WVU_R5_P585,WVU,5,585,PMC9106302,S. purpurea,F,NA,NA,NA,NA,NA,1.74,25,106,4.24,3.66,11.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA
YR1_WVU_R6_P741,WVU,6,741,PMC9106302,S. purpurea,F,NA,NA,NA,NA,NA,0.79,5,23,4.60,0.87,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA
YR1_Geneva_R1_P14,Geneva,1,14,9882-41,S. purpurea,F,18.61,38.72,26.03,1.60,0.42,2.35,19,136,7.16,8.29,11.00,7.46,0.1184,63.01,0.0159,6.31,1.44,13.72,4.37,0.5,29.8,822.4,39.6,26.6
YR1_Geneva_R2_P193,Geneva,2,193,9882-41,S. purpurea,F,18.27,40.39,26.06,1.55,0.45,2.89,23,210,9.13,16.24,10.25,14.43,0.1379,104.64,0.0096,8.77,2.02,18.7,4.35,0.52,28.9,618.3,49.2,29.5
YR1_Geneva_R3_P288,Geneva,3,288,9882-41,S. purpurea,F,17.41,36.55,28.75,2.70,0.43,3.12,37,356,9.62,29.23,9.50,16.05,0.1172,136.95,0.0073,9.54,2.03,20.54,4.7,0.48,27.8,701.9,36.0,40.2
YR1_Geneva_R4_P447,Geneva,4,447,9882-41,S. purpurea,F,19.41,41.59,25.08,1.06,0.48,3.09,22,224,10.18,19.31,13.50,18.95,0.1708,110.95,0.0090,10.49,2.24,22.69,4.68,0.46,28.7,535.9,41.0,47.0
YR1_Geneva_R5_P589,Geneva,5,589,9882-41,S. purpurea,F,NA,NA,NA,NA,NA,2.71,25,226,9.04,18.44,11.75,9.55,0.0864,110.53,0.0090,7.56,1.59,15.79,4.76,0.48,35.1,496.9,35.1,32.8
YR1_Geneva_R6_P652,Geneva,6,652,9882-41,S. purpurea,F,NA,NA,NA,NA,NA,2.60,25,227,9.08,16.89,10.75,11.79,0.1229,95.93,0.0104,7.03,1.92,16.75,3.66,0.53,28.9,692.2,35.7,32.2
YR1_Portland_R1_P100,Portland,1,100,9882-41,S. purpurea,F,19.07,40.24,26.81,1.53,0.40,2.18,10,80,8.00,5.29,12.00,19.92,0.074,269.19,0.0037,5.9,3.91,101.58,1.51,0.02,32.2,281.6,48.0,58.9
YR1_Portland_R2_P140,Portland,2,140,9882-41,S. purpurea,F,18.09,36.97,28.86,1.82,0.40,2.61,28,217,7.75,15.07,12.00,18.93,0.0574,329.79,0.0030,6.44,3.62,64.92,1.78,0.06,31.5,418.4,50.4,47.3
YR1_Portland_R3_P346,Portland,3,346,9882-41,S. purpurea,F,19.01,40.82,26.10,1.13,0.39,2.47,30,230,7.67,15.57,12.00,12.94,0.079,163.80,0.0061,8.49,1.95,35.09,4.36,0.13,29.2,557.7,46.5,49.0
YR1_Portland_R4_P450,Portland,4,450,9882-41,S. purpurea,F,19.37,40.92,25.87,1.20,0.44,2.60,34,315,9.26,24.84,10.75,10.13,0.0524,193.32,0.0052,7.29,1.72,27.83,4.23,0.16,30.9,491.0,45.9,45.7
YR1_Portland_R5_P543,Portland,5,543,9882-41,S. purpurea,F,NA,NA,NA,NA,NA,2.40,32,236,7.38,15.35,12.00,15.77,0.1078,146.29,0.0068,8.64,2.14,19.11,4.04,0.54,30.0,590.7,39.9,60.9
YR1_Portland_R6_P667,Portland,6,667,9882-41,S. purpurea,F,NA,NA,NA,NA,NA,2.48,20,147,7.35,9.84,11.50,8.98,0.0727,123.52,0.0081,6.83,1.61,14.17,4.23,0.56,32.7,841.9,45.8,40.7
YR1_WVU_R1_P122,WVU,1,122,9882-41,S. purpurea,F,18.94,42.33,26.01,1.48,0.39,2.19,12,112,9.33,8.98,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0,674.0,56.2,NA
YR1_WVU_R2_P166,WVU,2,166,9882-41,S. purpurea,F,18.44,36.83,28.02,2.51,0.34,1.88,3,18,6.00,0.86,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,719.6,50.7,NA
YR1_WVU_R3_P382,WVU,3,382,9882-41,S. purpurea,F,19.82,40.24,26.32,1.82,0.34,2.38,15,141,9.40,11.60,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,497.3,59.2,NA
