SID,Location,Replicate,Plot,Clone,Species,Gender,CDIA,CFOR,VPH,FPH,HEMI,CELL,LIG,ASH,SPGR,HT,Sno,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD,YLD
YR2_Geneva_R1_P112,Geneva,1,112,Pur12,S. purpurea,M,29.7,45.7,103,91,18.5020,43.0455,25.8933,1.5198,0.47,4.23,33,356,10.79,37.84,7.10,6.64,0.0912,72.81,0.01373,8.19,1.09,15.39,7.55,0.35,30.0,525.7,37.20,49.13,7.07
YR2_Geneva_R2_P260,Geneva,2,260,Pur12,S. purpurea,M,21.9,54.3,103,91,18.2430,43.3470,26.1309,1.5997,0.49,4.07,15,174,11.60,18.79,8.60,9.62,0.1286,74.81,0.01337,9.4,1.29,18.97,7.27,0.34,30.6,520.3,41.87,46.93,4.67
YR2_Geneva_R3_P292,Geneva,3,292,Pur12,S. purpurea,M,26.5,49.0,111,91,19.0092,43.2755,25.8138,1.3210,0.47,4.47,29,397,13.69,55.83,8.90,5.14,0.1065,48.26,0.02072,5.75,1.23,11.94,4.67,0.45,27.8,488.3,50.17,36.73,7.43
YR2_Geneva_R4_P502,Geneva,4,502,Pur12,S. purpurea,M,31.1,44.4,111,103,18.8340,43.6603,25.9946,1.0662,0.50,4.11,24,354,14.75,54.00,9.25,8.16,0.1104,73.91,0.01353,9.27,1.19,18.07,7.77,0.31,26.7,630.0,40.50,35.60,8.03
YR2_Geneva_R5_P609,Geneva,5,609,Pur12,S. purpurea,M,22.5,53.6,111,103,NA,NA,NA,NA,NA,4.32,27,291,10.78,29.81,7.75,5.95,0.085,70.00,0.01429,8.25,1,16.34,8.22,0.28,29.5,433.5,42.10,43.47,4.67
YR2_Geneva_R6_P765,Geneva,6,765,Pur12,S. purpurea,M,34.1,41.8,111.0,103,NA,NA,NA,NA,NA,3.85,27,298,11.04,29.42,8.65,8.31,0.1041,79.83,0.01253,8.65,1.25,17.2,6.91,0.35,25.2,239.2,41.63,41.97,3.95
YR2_Portland_R1_P8,Portland,1,8,Pur12,S. purpurea,M,22.7,53.3,NA,NA,17.3984,41.0149,27.8989,1.6265,0.50,3.84,23,318,13.83,38.04,14.50,5.39,0.0823,65.49,0.01527,5.78,1.14,12.26,5.07,0.45,25.6,502.4,41.9,50.7,5.95
YR2_Portland_R2_P157,Portland,2,157,Pur12,S. purpurea,M,13.3,66.4,NA,NA,17.6073,43.3668,27.2735,0.8447,0.48,3.19,19,183,9.63,17.54,12.50,8.13,0.1041,78.10,0.01280,10.09,1.06,19.8,9.54,0.26,33.7,772.6,45.2,43.6,3.97
YR2_Portland_R3_P267,Portland,3,267,Pur12,S. purpurea,M,32.0,43.6,NA,NA,18.7195,41.4069,28.1435,1.2648,0.50,3.49,37,438,11.84,47.77,10.50,8.39,0.1468,57.15,0.01750,9.51,1.01,19.25,9.4,0.28,25.0,222.3,54.6,46.7,6.88
YR2_Portland_R4_P478,Portland,4,478,Pur12,S. purpurea,M,25.2,50.4,NA,NA,18.5989,42.9836,26.7116,0.9706,0.49,3.48,24,316,13.17,36.10,17.00,10.69,0.171,62.51,0.01600,8.53,1.55,18.78,5.49,0.38,29.4,368.8,47.9,60.7,5.95
