REP,COL,ROW,PLOT,FAMILY,DAM,SIRE,TYPE,CLONE,SEX,STC.Y0,HT,HCL,CLS,LIG,ASH,CDIA,FORM,STN,SDIA,SA,LFW,LA,LFL,LFWT,LFP,SLA,SPAD1,RUST
1,1,1,1,317,9882-41,9882-34,progeny,11X-317-071,F,0,243,18.10939928,37.76031308,26.88730266,2.31730827,25,50.64105449,16,9.5,11.79668041,0.0978,10.59,7.16,1.72,16.47,108.2822086,48.4,0.08
1,1,2,2,317,9882-41,9882-34,progeny,10X-317-020,M,1,280,18.03534022,40.12739216,26.28203339,1.915099787,36,40.25347686,25,8.4,15.14247659,0.0928,10.12,6.87,1.92,26.58,109.0517241,47,0.12
1,1,4,4,317,9882-41,9882-34,progeny,11X-317-117,M,2,299,19.31539473,41.38146572,24.84782549,1.335650973,20.9,55.56174132,17,7.882352941,9.063494806,0.0478,6.33,6.03,1.25,11.92,132.4267782,48.7,0.05
1,1,8,8,317,9882-41,9882-34,progeny,11X-317-011,F,2,317,18.37576933,40.13403926,26.49637802,1.765022509,26.1,49.42658199,25,9.12,17.89137016,0.098,11.37,7.44,1.93,27.36,116.0204082,57.7,0.2
1,1,11,11,317,9882-41,9882-34,progeny,10X-317-132,F,2,279,20.3639522,39.67524134,25.91732999,1.844876717,23.1,52.84245731,12,9.166666667,8.466592201,0.105,13.58,8.72,1.85,29.38,129.3333333,62,0.25
1,1,15,15,317,9882-41,9882-34,progeny,11X-317-256,M,2,345,18.97411223,40.62075744,24.82132195,1.773955537,34.4,41.54243598,21,8.523809524,13.4695785,0.0808,14.67,8.19,2.17,18.28,181.5594059,60.1,0.22
1,1,20,20,317,9882-41,9882-34,progeny,10X-317-150,M,2,287,18.38764317,41.46628978,25.3991813,1.341597606,30,45.45471886,12,7.5,5.62345085,0.0849,12.94,7.84,1.95,17.68,152.4146054,51.6,0.12
1,1,21,21,82,94006,94001,progeny,12X-082-035,M,2,373,18.77626229,40.30264421,25.24901084,1.993871704,38.4,38.44078876,23,9.782608696,18.70033027,0.0753,13.61,7.54,2.16,34.98,180.7436919,48,NA
1,1,25,25,317,9882-41,9882-34,progeny,10X-317-082,F,1,280,20.19215713,38.50759271,26.19962392,1.798070394,29.5,45.93605982,12,7.833333333,6.047565858,0.1021,17.47,9.19,2.19,20.08,171.1067581,54.4,0.02
1,1,26,26,317,9882-41,9882-34,progeny,11X-317-110,M,1,357,18.88150888,43.24812945,24.77156623,1.161567507,28.2,47.22509709,23,8.652173913,15.54302965,0.0966,19.22,9.39,2.55,20.64,198.9648033,50.7,0.08
1,1,27,27,82,94006,94001,progeny,12X-082-019,F,2,344,18.85176273,39.35210866,26.05086901,1.611973666,29.2,46.22867553,18,11.22222222,18.69247629,0.0967,13.77,7.72,2.16,32.51,142.3991727,51,NA
1,1,29,29,317,9882-41,9882-34,progeny,11X-317-021,F,2,357,19.8424085,42.14490042,23.95096855,1.329088244,29.3,46.13081701,14,8.928571429,9.746791208,0.0941,13.12,8.65,1.94,18.36,139.4261424,44.6,0.02
